TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4,,,,,,,,
Arrow,1,Big_Coal,1,Four Corners,11,0,36.6,36.6,59.71,36.6,,,,,,,,
Arrow,1,Big_Coal,1,ALAMITOS_7,12,0,73.72,73.72,73.71,73.72,,,,,,,,
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,0,40.93,40.93,40.93,40.93,,,,,,,,
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_5,14,0,69.82,69.82,69.82,69.82,,,,,,,,
Arrow,1,Big_Coal,1,REDONDO_5-6,15,0,42.38,43.82,42.38,42.38,,,,,,,,
Arrow,1,Big_Coal,1,REDONDO_7-8,16,0,42.38,43.82,42.38,42.38,,,,,,,,
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,0,44.83,100,100,44.83,,,,,,,,
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,0,41.66,100,41.22,41.22,,,,,,,,
Becker,2,Big_Gas,2,LONG_BEACH,23,0,52.5,52.5,52.5,52.5,,,,,,,,
Becker,2,Big_Gas,2,NORTH_ISLAND,24,0,65.5,65.5,65.5,65.5,,,,,,,,
Becker,2,Big_Gas,2,ENCINA,25,0,41.67,41.67,41.67,41.93,,,,,,,,
Becker,2,Big_Gas,2,KEARNY,26,0,90.06,90.06,90.06,90.06,,,,,,,,
Becker,2,Big_Gas,2,SOUTH_BAY,27,0,43.83,47.43,100,43.83,,,,,,,,
Coase,3,Bay_Views,3,MORRO_BAY_1-2,31,0,36.27,36,38,32.56,,,,,,,,
Coase,3,Bay_Views,3,MORRO_BAY_3-4,32,0,36,36,38,32.56,,,,,,,,
Coase,3,Bay_Views,3,MOSS_LANDING_6,33,0,36.61,36.61,36.61,36.61,,,,,,,,
Coase,3,Bay_Views,3,MOSS_LANDING_7,34,0,38.78,38.78,38.78,38.78,,,,,,,,
Coase,3,Bay_Views,3,OAKLAND,35,0,61.17,61.17,61.17,61.17,,,,,,,,
Debreu,4,Beachfront,4,COOLWATER,41,0,32.39,42.39,46.39,44,,,,,,,,
Debreu,4,Beachfront,4,ETIWANDA_1-4,42,0,32.67,42.67,46.67,44,,,,,,,,
Debreu,4,Beachfront,4,ETIWANDA_5,43,0,52.89,62.89,66.89,62.89,,,,,,,,
Debreu,4,Beachfront,4,ELLWOOD,44,0,55.61,75.61,79.61,75.61,,,,,,,,
Debreu,4,Beachfront,4,MANDALAY_1-2,45,0,29.06,39.06,49.06,44,,,,,,,,
Debreu,4,Beachfront,4,MANDALAY_3,46,0,42.06,52.06,56.06,52.06,,,,,,,,
Debreu,4,Beachfront,4,ORMOND_BEACH_1,47,0,28.06,38.06,48.06,41,,,,,,,,
Debreu,4,Beachfront,4,ORMOND_BEACH_2,48,0,28.06,38.06,48.06,41,,,,,,,,
Friedman,5,East_Bay,5,PITTSBURGH_1-4,51,0,41.12,43.7,44.7,41.5,,,,,,,,
Friedman,5,East_Bay,5,PITTSBURGH_5-6,52,0,41.12,43.7,44.7,41.5,,,,,,,,
Friedman,5,East_Bay,5,PITTSBURG_7,53,0,60,60,60,60,,,,,,,,
Friedman,5,East_Bay,5,CONTRA_COSTA_4-5,54,0,59,59,59,59,,,,,,,,
Friedman,5,East_Bay,5,CONTRA_COSTA_6-7,55,0,41.12,43.7,44.7,41.5,,,,,,,,
Friedman,5,East_Bay,5,POTRERO_HILL,56,0,71,71,71,71,,,,,,,,
Heckman,6,Old_Timers,6,BIG_CREEK,61,0,0,0,0,0,,,,,,,,
Heckman,6,Old_Timers,6,MOHAVE_1,62,0,20,20,20,20,,,,,,,,
Heckman,6,Old_Timers,6,MOHAVE_2,63,0,20,20,20,20,,,,,,,,
Heckman,6,Old_Timers,6,HIGHGROVE,64,0,49.61,49.61,49.61,49.61,,,,,,,,
Heckman,6,Old_Timers,6,SAN_BERNARDINO,65,0,53.94,53.94,53.94,53.94,,,,,,,,
Krugman,7,Low_Fossil,7,HUMBOLDT,71,0,47.44,47.44,47.44,47.44,,,,,,,,
Krugman,7,Low_Fossil,7,HELMS,72,0,32.55,0.5,0.5,5.19,,,,,,,,
Krugman,7,Low_Fossil,7,HUNTERS_POINT_1-2,73,0,49.17,49.17,49.17,49.17,,,,,,,,
Krugman,7,Low_Fossil,7,HUNTERS_POINT_4,74,0,75.89,76,75.89,75.89,,,,,,,,
Krugman,7,Low_Fossil,7,DIABLO_CANYON_1,75,0,32.55,11.5,14.9,16.5,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,  ,,,,,,,,
