TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Big_Coal,1,Four Corners,11,5,187.50,187.50,187.50,187.50
Arrow,1,Big_Coal,1,ALAMITOS_7,12,5,99.72,99.72,99.72,99.72
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,5,66.50,66.50,66.50,66.50
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_5,14,5,92.50,92.50,92.50,92.50
Arrow,1,Big_Coal,1,REDONDO_5-6,15,5,67.94,67.94,67.94,67.94
Arrow,1,Big_Coal,1,REDONDO_7-8,16,5,67.94,67.94,67.94,67.94
Becker,2,Low_Fossil,7,HUMBOLDT,71,5,68.32,68.32,68.32,68.32
Becker,2,Low_Fossil,7,HELMS,72,5,0.50,0.50,0.50,0.50
Becker,2,Low_Fossil,7,HUNTERS_POINT_1-2,73,5,68.32,68.32,68.32,68.32
Becker,2,Low_Fossil,7,HUNTERS_POINT_4,74,5,110.00,110.00,110.00,110.00
Becker,2,Low_Fossil,7,DIABLO_CANYON_1,75,5,11.50,11.50,11.50,11.50
Coase,3,Old_Timers,6,BIG_CREEK,61,5,0.00,0.00,0.00,0.00
Coase,3,Old_Timers,6,MOHAVE_1,62,5,147.00,147.00,55.18,147.00
Coase,3,Old_Timers,6,MOHAVE_2,63,5,147.00,147.00,55.18,147.00
Coase,3,Old_Timers,6,HIGHGROVE,64,5,154.37,154.37,62.37,154.37
Coase,3,Old_Timers,6,SAN_BERNARDINO,65,5,159.80,159.80,67.80,159.80
Debreu,4,Beachfront,4,COOLWATER,41,5,68.26,90.00,68.26,90.00
Debreu,4,Beachfront,4,ETIWANDA_1-4,42,5,68.54,90.00,68.54,90.00
Debreu,4,Beachfront,4,ETIWANDA_5,43,5,88.76,88.76,200.00,88.76
Debreu,4,Beachfront,4,ELLWOOD,44,5,101.48,101.48,200.00,101.48
Debreu,4,Beachfront,4,MANDALAY_1-2,45,5,64.93,90.00,64.93,64.93
Debreu,4,Beachfront,4,MANDALAY_3,46,5,77.93,90.00,77.93,77.93
Debreu,4,Beachfront,4,ORMOND_BEACH_1,47,5,63.93,90.00,63.93,63.93
Debreu,4,Beachfront,4,ORMOND_BEACH_2,48,5,63.93,90.00,63.93,63.93
Friedman,5,Bay_Views,3,MORRO_BAY_1-2,31,5,55.43,56.78,57.68,56.78
Friedman,5,Bay_Views,3,MORRO_BAY_3-4,32,5,52.52,53.81,54.67,53.81
Friedman,5,Bay_Views,3,MOSS_LANDING_6,33,5,46.25,47.36,48.10,47.36
Friedman,5,Bay_Views,3,MOSS_LANDING_7,34,5,46.25,47.36,48.10,47.36
Friedman,5,Bay_Views,3,OAKLAND,35,5,90.00,90.00,90.00,90.00
Heckman,6,East_Bay,5,PITTSBURGH_1-4,51,5,40.94,40.94,40.94,40.94
Heckman,6,East_Bay,5,PITTSBURGH_5-6,52,5,36.61,36.61,36.61,36.61
Heckman,6,East_Bay,5,PITTSBURG_7,53,5,59.72,59.72,59.72,59.72
Heckman,6,East_Bay,5,CONTRA_COSTA_4-5,54,5,58.28,58.28,58.28,58.28
Heckman,6,East_Bay,5,CONTRA_COSTA_6-7,55,5,39.50,39.50,39.50,39.50
Heckman,6,East_Bay,5,POTRERO_HILL,56,5,69.83,69.83,69.83,69.83
Krugman,7,Big_Gas,2,EL_SEGUNDO_1-2,21,5,70.33,70.33,58.02,70.33
Krugman,7,Big_Gas,2,EL_SEGUNDO_3-4,22,5,64.72,64.72,53.37,64.72
Krugman,7,Big_Gas,2,LONG_BEACH,23,5,83.00,83.00,68.28,83.00
Krugman,7,Big_Gas,2,NORTH_ISLAND,24,5,104.00,104.00,85.41,104.00
Krugman,7,Big_Gas,2,ENCINA,25,5,66.17,66.17,54.34,66.17
Krugman,7,Big_Gas,2,KEARNY,26,5,143.06,143.06,117.48,143.06
Krugman,7,Big_Gas,2,SOUTH_BAY,27,5,69.33,69.33,57.02,69.33
Arrow,1,Big_Coal,1,Four Corners,11,4,500.00,500.00,500.00,500.00
Arrow,1,Big_Coal,1,ALAMITOS_7,12,4,124.72,124.72,124.72,124.72
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,4,68.10,68.10,68.10,68.10
Arrow,1,Big_Coal,1,HUNTINGTON_BEACH_5,14,4,112.70,112.70,112.70,112.70
Arrow,1,Big_Coal,1,REDONDO_5-6,15,4,70.74,70.74,70.74,70.74
Arrow,1,Big_Coal,1,REDONDO_7-8,16,4,70.74,70.74,70.74,70.74
Becker,2,Low_Fossil,7,HUMBOLDT,71,4,83.80,79.89,79.89,83.80
Becker,2,Low_Fossil,7,HELMS,72,4,0.50,0.50,0.50,0.50
Becker,2,Low_Fossil,7,HUNTERS_POINT_1-2,73,4,83.80,79.89,79.89,83.80
Becker,2,Low_Fossil,7,HUNTERS_POINT_4,74,4,127.81,127.81,127.81,127.81
Becker,2,Low_Fossil,7,DIABLO_CANYON_1,75,4,11.50,11.50,11.50,11.50
