TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Old_Timers,6,BIG_CREEK,61,3,0.00,0.00,0.00,0.00
Arrow,1,Old_Timers,6,MOHAVE_1,62,3,34.50,34.50,34.50,34.50
Arrow,1,Old_Timers,6,MOHAVE_2,63,3,34.50,34.50,34.50,34.50
Arrow,1,Old_Timers,6,HIGHGROVE,64,3,52.06,52.06,52.06,52.06
Arrow,1,Old_Timers,6,SAN_BERNARDINO,65,3,58.28,58.28,58.28,58.28
Becker,2,Bay_Views,3,MORRO_BAY_1-2,31,3,38.78,38.78,49.00,38.78
Becker,2,Bay_Views,3,MORRO_BAY_3-4,32,3,37.61,37.61,49.00,37.61
Becker,2,Bay_Views,3,MOSS_LANDING_6,33,3,33.56,33.56,49.00,33.56
Becker,2,Bay_Views,3,MOSS_LANDING_7,34,3,33.56,33.56,49.00,33.56
Becker,2,Bay_Views,3,OAKLAND,35,3,61.17,61.17,61.17,61.17
Coase,3,Low_Fossil,7,HUMBOLDT,71,3,0,0,0,0
Coase,3,Low_Fossil,7,HELMS,72,3,0,0,0,0
Coase,3,Low_Fossil,7,HUNTERS_POINT_1-2,73,3,0,0,0,0
Coase,3,Low_Fossil,7,HUNTERS_POINT_4,74,3,0,0,0,0
Coase,3,Low_Fossil,7,DIABLO_CANYON_1,75,3,0,0,0,0
Debreu,4,Big_Coal,1,Four Corners,11,3,36.50,39.00,41.00,39.00
Debreu,4,Big_Coal,1,ALAMITOS_7,12,3,76.72,77.00,83.00,77.00
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,3,43.50,43.75,44.50,43.50
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_5,14,3,71.50,75.50,79.50,71.50
Debreu,4,Big_Coal,1,REDONDO_5-6,15,3,43.85,43.85,48.70,48.70
Debreu,4,Big_Coal,1,REDONDO_7-8,16,3,44.85,46.00,46.00,44.85
Friedman,5,Beachfront,4,COOLWATER,41,3,42.39,43.70,47.40,43.70
Friedman,5,Beachfront,4,ETIWANDA_1-4,42,3,42.67,43.70,47.40,43.70
Friedman,5,Beachfront,4,ETIWANDA_5,43,3,62.89,62.89,62.89,62.89
Friedman,5,Beachfront,4,ELLWOOD,44,3,75.61,75.61,75.61,75.61
